,Time,Conf,ScanID,LID,Azimuth,Elevation,RLA,MLA
0,2017-04-26 12:45:05.054075,7,21,0,0.00056839,89.9944,1550,
1,2017-04-26 13:45:05.460383,7,21,0,0.00315857,89.9917,1550,
2,2017-04-26 14:45:05.018480,7,21,0,0.00313568,89.9919,1700,300
3,2017-04-26 15:45:05.031028,7,21,0,0.00285721,89.9922,,1350
4,2017-04-26 16:45:05.331558,7,21,0,0.00291443,89.9926,,1400
5,2017-04-26 17:45:05.070939,7,21,0,0.00384903,89.9921,,900
6,2017-04-26 18:45:04.823862,7,21,0,0.00452042,89.9922,2375,1350
7,2017-04-26 19:45:05.733397,7,21,0,0.00510025,89.9922,2450,
8,2017-04-26 20:45:05.522048,7,21,0,0.0019455,89.9962,2650,
9,2017-04-26 21:45:04.783183,7,21,0,0.00279999,89.9966,2800,2300
10,2017-04-26 22:45:05.645725,7,21,0,0.00457764,89.9957,2800,
11,2017-04-26 23:45:02.507548,7,21,0,4.95911e-05,89.998,2950,
12,2017-04-27 00:45:09.871342,7,21,0,-180.0,89.9993,2850,
13,2017-04-27 01:45:10.479284,7,21,0,180.0,89.998,2600,
14,2017-04-27 02:45:10.489276,7,21,0,179.999,89.997,2750,
15,2017-04-27 03:45:10.334668,7,21,0,180.0,89.9977,2200,
16,2017-04-27 04:45:10.244472,7,21,0,180.0,89.997,2850,200
17,2017-04-27 05:45:09.941288,7,21,0,180.0,89.9976,1650,
18,2017-04-27 06:45:10.742724,7,21,0,180.0,89.9968,1850,
19,2017-04-27 07:45:10.549949,7,21,0,180.0,89.9975,2900,
20,2017-04-27 08:45:10.473691,7,21,0,179.997,89.9936,2900,
21,2017-04-27 09:45:10.521715,7,21,0,179.999,89.9966,2900,
22,2017-04-27 10:45:10.696581,7,21,0,179.999,89.996,2650,
23,2017-04-27 11:45:05.631657,7,21,0,0.00106812,89.9942,2550,
24,2017-04-27 12:45:05.167401,7,21,0,0.000865936,89.9941,2600,
25,2017-04-27 13:45:05.193132,7,21,0,0.00284195,89.9921,2450,
26,2017-04-27 14:45:05.691136,7,21,0,0.00356293,89.9915,2400,500
27,2017-04-27 15:45:05.516515,7,21,0,0.00273514,89.9923,2400,400
28,2017-04-27 16:45:05.318760,7,21,0,0.00278854,89.9927,2550,750
29,2017-04-27 17:45:05.178253,7,21,0,0.00376511,89.9922,2750,1300
30,2017-04-27 18:45:05.177850,7,21,0,0.00444412,89.9922,2850,2300
31,2017-04-27 19:45:05.472371,7,21,0,0.00426483,89.9933,,3100
32,2017-04-27 20:45:05.194535,7,21,0,0.00431824,89.9924,2600,
33,2017-04-27 21:45:05.608789,7,21,0,0.00435257,89.9922,2950,
34,2017-04-27 22:45:05.402690,7,21,0,0.00413132,89.9916,2450,
35,2017-04-27 23:45:02.010075,7,21,0,0.000202179,89.9962,3000,1150
36,2017-04-28 00:45:10.375480,7,21,0,-180.0,89.9992,2700,
37,2017-04-28 01:45:10.633700,7,21,0,179.999,89.9981,2850,
38,2017-04-28 02:45:10.141452,7,21,0,179.999,89.9968,2900,
39,2017-04-28 03:45:10.634104,7,21,0,180.0,89.9974,2950,350
40,2017-04-28 04:45:10.269464,7,21,0,180.0,89.9974,2700,
41,2017-04-28 05:45:10.110172,7,21,0,180.0,89.9969,2450,
42,2017-04-28 06:45:10.289103,7,21,0,180.0,89.9966,2350,
43,2017-04-28 07:45:10.199244,7,21,0,180.0,89.9977,2500,
44,2017-04-28 08:45:10.281959,7,21,0,180.0,89.9967,2200,
45,2017-04-28 09:45:10.445503,7,21,0,179.999,89.9967,1350,
46,2017-04-28 10:45:10.385307,7,21,0,180.0,89.9969,1650,
47,2017-04-28 11:45:05.206971,7,21,0,0.000480652,89.9946,1200,
48,2017-04-28 12:45:05.782858,7,21,0,0.000480652,89.9945,1350,
49,2017-04-28 13:45:05.167216,7,21,0,0.0031662,89.9918,1100,200
50,2017-04-28 14:45:04.997777,7,21,0,0.00349808,89.9916,1350,
51,2017-04-28 15:45:04.734138,7,21,0,0.00292206,89.9927,,1450
52,2017-04-28 16:45:05.678953,7,21,0,0.00314713,89.9929,,1700
53,2017-04-28 17:45:05.447204,7,21,0,0.00376511,89.9928,1250,200
54,2017-04-28 18:45:05.291402,7,21,0,0.00443649,89.9918,2550,2150
55,2017-04-28 19:45:05.009220,7,21,0,0.00492859,89.9924,2650,2150
56,2017-04-28 20:45:04.799864,7,21,0,0.00331116,89.9941,3100,
57,2017-04-28 21:45:04.944767,7,21,0,0.00499344,89.9931,2350,
58,2017-04-28 22:45:04.676468,7,21,0,0.0045433,89.9916,2850,2350
59,2017-04-28 23:45:02.229670,7,21,0,0.000598907,89.9955,2375,
60,2017-04-29 00:45:10.370021,7,21,0,-180.0,89.999,1900,350
61,2017-04-29 01:45:09.969341,7,21,0,180.0,89.998,1850,
62,2017-04-29 02:45:10.464090,7,21,0,179.999,89.9977,1200,
63,2017-04-29 03:45:10.031729,7,21,0,179.999,89.998,800,
64,2017-04-29 04:45:10.511367,7,21,0,179.999,89.9965,1175,
65,2017-04-29 05:45:10.252428,7,21,0,180.0,89.9977,1350,
66,2017-04-29 06:45:10.045979,7,21,0,179.999,89.9974,,350
67,2017-04-29 07:45:09.901621,7,21,0,180.0,89.9982,500,
68,2017-04-29 08:45:09.921539,7,21,0,180.0,89.9976,,450
69,2017-04-29 09:45:10.661165,7,21,0,179.999,89.9965,1000,
70,2017-04-29 10:45:10.403929,7,21,0,180.0,89.9972,1100,
71,2017-04-29 11:45:05.431170,7,21,0,0.000961304,89.994,,900
72,2017-04-29 12:45:05.755988,7,21,0,-0.00152588,89.9966,,950
